Title,Author,Discount,Price before,Price now,Editorial,Year
 HÁBITOS ATÓMICOS  ,James Clear,20,59000,47200,GRUPO PLANETA,2019
 LAS CASUALIDADES NO EXISTEN  ,Borja Vilaseca,20,52000,41600,VERGARA,2021
 CÓMO HACER QUE TE PASEN COSAS BUENAS  ,Marián Rojas,20,49000,39200,ESPASA,2019
 EL PODER DEL AHORA  ,Eckhart Tolle,20,55000,44000,GRIJALBO,2012
 VOLVER A EMPEZAR ,Colleen Hoover,20,69000,55200,PLANETA,0
" CUATRO ACUERDOS, LOS (COL. )  ",Miguel Ruiz,20,43000,34400,EDICIONES URANO,1998
 LOS ARCHIVOS SECRETOS DEL ALMA  ,Andrea Novoa Arias,20,55000,44000,DIANA,0
 GENERACIÓN IDIOTA: UNA CRÍTICA AL ADOLESCENTRISMO  ,Agustín Laje,20,74900,59920,HARPERCOLLINS MEXICO,2023
 TRES MESES  ,Joana Marcús,0,60000,60000,PENGUIN RANDOM HOUSE,2023
 LA PSICOLOGÍA DEL DINERO  ,Morgan Housel,20,59000,47200,GRUPO PLANETA,2022
 EL MILAGRO METABÓLICO  ALIMÉNTESE BIEN CONTROLE SU PESO Y CONVIERTA SU CUERPO EN SU MEJOR ALIADO INCLUYE TEST Y RECETARIO  ,Dr. Carlos Jaramillo,20,59000,47200,PLANETA,2019
 ROMPER EL CÍRCULO  ,Colleen Hoover,20,69000,55200,GRUPO PLANETA,2022
 LEER ES RESISTIR  ,Mario Mendoza,20,55000,44000,GRUPO PLANETA,2022
 ENCUENTRA TU PERSONA VITAMINA  ,Marián Rojas,20,65000,52000,ESPASA,2021
 LA RIDICULA IDEA DE NO VOLVER A VERTE  ,Rosa Montero,20,55000,44000,SEIX BARRAL,2013
 ESTE DOLOR NO ES MIO  ,Mark Wolynn,10,88000,79200,GAIA,2017
 DEJA DE SUR TÚ  ,Joe Dispenza,20,70000,56000,EDICIONES URANO,2021
 CÓMO GANAR AMIGOS E INFLUIR SOBRE LAS PERSONAS  ,Dale Carnegie,20,49000,39200,SUDAMERICANA,2013
 LA INTELIGENCIA EMOCIONAL  ,Daniel Goleman,20,49000,39200,B DE BOLSILLO,2018
 TIENDE TU CAMA Y OTROS PEQUEÑOS HÁBITOS QUE CAMBIARÁN TU VIDA Y EL MUNDO  ,William Harry Mcraven,20,39000,31200,DIANA,0
 DESPUÉS DE DICIEMBRE  ,Joana Marcús,20,62000,49600,PENGUIN RANDOM HOUSE,2022
 SATANÁS  ,Mario Mendoza,20,55000,44000,GRUPO PLANETA,2021
 ESPIRITUALIDAD PARA HUMANOS  ,Alberto Linero,20,55000,44000,PLANETA,2022
