Title,Author,Stars,N.Ratings,Score,People voted
"THE HUNGER GAMES (THE HUNGER GAMES, #1)",Suzanne Collins,4.33,7903377,3460567,35232
"HARRY POTTER AND THE ORDER OF THE PHOENIX (HARRY POTTER, #5)",J.K. Rowling,4.5,3126390,2947051,30115
PRIDE AND PREJUDICE,Jane Austen,4.28,3913586,2467803,25347
TO KILL A MOCKINGBIRD,Harper Lee,4.27,5654583,2304293,23536
THE BOOK THIEF,Markus Zusak,4.39,2347140,1668078,17169
"TWILIGHT (THE TWILIGHT SAGA, #1)",Stephenie Meyer,3.64,6124203,1600895,16316
ANIMAL FARM,George Orwell,3.98,3546072,1465775,15198
"THE CHRONICLES OF NARNIA (CHRONICLES OF NARNIA, #1-7)",C.S. Lewis,4.27,613801,1370547,14300
J.R.R. TOLKIEN 4-BOOK BOXED SET: THE HOBBIT AND THE LORD OF THE RINGS,J.R.R. Tolkien,4.61,126836,1369422,14235
THE FAULT IN OUR STARS,John Green,4.15,4728600,1252709,12979
GONE WITH THE WIND,Margaret Mitchell,4.3,1176126,1137432,11725
THE GIVING TREE,Shel Silverstein,4.38,1063042,1116807,11572
WUTHERING HEIGHTS,Emily Brontë,3.88,1673051,1103254,11529
THE PICTURE OF DORIAN GRAY,Oscar Wilde,4.12,1354204,1101532,11543
"HARRY POTTER AND THE PHILOSOPHER’S STONE (HARRY POTTER, #1)",J.K. Rowling,4.47,9213528,994607,10484
JANE EYRE,Charlotte Brontë,4.14,1963879,976743,10285
THE PERKS OF BEING A WALLFLOWER,Stephen Chbosky,4.22,1645707,973608,10175
"THE DA VINCI CODE (ROBERT LANGDON, #2)",Dan Brown,3.9,2239275,950581,9994
THE GREAT GATSBY,F. Scott Fitzgerald,3.93,4804506,928177,9927
ALICE'S ADVENTURES IN WONDERLAND / THROUGH THE LOOKING-GLASS,Lewis Carroll,4.06,533807,916553,9668
MEMOIRS OF A GEISHA,Arthur Golden,4.14,1923297,915245,9536
THE LITTLE PRINCE,Antoine De Saint-Exupéry,4.32,1905323,903921,9587
"DIVERGENT (DIVERGENT, #1)",Veronica Roth,4.15,3683496,893200,9376
LES MISÉRABLES,Victor Hugo,4.2,764430,890686,9356
"THE LIGHTNING THIEF (PERCY JACKSON AND THE OLYMPIANS, #1)",Rick Riordan,4.29,2672365,884941,9330
CRIME AND PUNISHMENT,Fyodor Dostoevsky,4.25,812701,881625,9197
LORD OF THE FLIES,William Golding,3.69,2722828,850417,9038
ROMEO AND JULIET,William Shakespeare,3.74,2455665,837672,8978
"ANNE OF GREEN GABLES (ANNE OF GREEN GABLES, #1)",L.M. Montgomery,4.3,912464,813431,8566
"CITY OF BONES (THE MORTAL INSTRUMENTS, #1)",Cassandra Clare,4.08,1906934,800781,8417
"THE HITCHHIKER'S GUIDE TO THE GALAXY (THE HITCHHIKER'S GUIDE TO THE GALAXY, #1)",Douglas Adams,4.23,1729980,786024,8144
THE HELP,Kathryn Stockett,4.47,2587439,777515,8310
"ENDER’S GAME (ENDER'S SAGA, #1)",Orson Scott Card,4.31,1303373,760905,7935
CHARLOTTE'S WEB,E.B. White,4.19,1716061,747178,8059
DRACULA,Bram Stoker,4.01,1166815,742242,7983
OF MICE AND MEN,John Steinbeck,3.88,2381086,734513,7919
THE ALCHEMIST,Paulo Coelho,3.9,2768456,710503,7409
THE CATCHER IN THE RYE,J.D. Salinger,3.81,3297350,694209,7480
BRAVE NEW WORLD,Aldous Huxley,3.99,1731785,693721,7440
